OID_,Origins15dqmd4_Name,FREQUENCY,MEAN_Properties_FoodDrinks_OD_lt90_open_Total_PublicTransitTime,MIN_Properties_FoodDrinks_OD_lt90_open_Total_PublicTransitTime,MAX_Properties_FoodDrinks_OD_lt90_open_Total_PublicTransitTime,STD_Properties_FoodDrinks_OD_lt90_open_Total_PublicTransitTime,MEAN_Properties_FoodDrinks_OD_lt90_open_Attraction_CostNormalize,MAX_Properties_FoodDrinks_OD_lt90_open_Attraction_CostNormalized,MAX_Properties_FoodDrinks_OD_lt90_open_Attraction_CostNormaliz_1,STD_Properties_FoodDrinks_OD_lt90_open_Attraction_CostNormalized
1,1 Candlewyck Dr,244,56.029000969830378,21.467824980357246,88.843060513667524,12.422771469042356,25.397546587426657,309.608007758572739,,41.806838565137099
2,1 Maplewood Rd,16,77.550050020387403,2.359995724373262,89.367006664661858,21.868852019668147,122.182883508293571,1743.223497191946763,,432.931960519930101
3,100 Graham Rd,212,70.944208796915120,2.087066859865220,89.598066768804074,22.208793778751524,26.462377012875983,1304.356222483113470,,102.844808403368972
4,1002 N Aurora St,278,29.609902058234361,1.280374565815060,87.785697785929003,15.938228020093510,57.036398321290335,1850.239815168418545,,135.490511541103047
5,1005 1007 N Aurora St,278,29.635181271480349,1.070234711347312,87.575557931461262,15.895785786931462,58.376029334293492,2213.533138929572488,,153.951187718385597
6,101 Dryden Rd,280,25.173075944382479,0.369157736591082,85.235387705270938,20.130412368141180,134.087250184162713,4745.938731173608176,,397.755725088476595
7,102 Highland Pl Apt 1,280,24.971350547675939,1.557102963839553,87.190519500599947,20.172264277535632,85.750205003244218,1104.683894637091498,,143.938769592469328
8,102 Highland Pl Apt 2,280,24.996314870814292,1.582067286977889,87.215483823738282,20.172264277535614,85.369528102896894,1087.564875050932187,,142.798081990962856
9,102 Highland Pl Apt 4,280,24.996710990325145,1.582463406488746,87.215879943249135,20.172264277535621,85.363543271255836,1087.297515501465568,,142.780242670901515
10,102 Wiedmaier Ct,242,66.573312664650530,35.441775235548661,89.363892678978502,10.381814640399114,18.162331908031664,181.660161631039415,,26.106088646672394
11,1028 Ellis Hollow Rd,277,46.526827100172575,5.507913664337699,89.289358891253556,16.724945410963908,30.720885043989327,432.375207109273049,,50.610570904624666
12,103 Spring Ln,279,23.842759813667485,3.002124372467047,82.597055389743332,20.337852543639531,82.628922352471633,1065.374608945458021,,125.444575184582533
13,103 Wiedmaier Ct,246,66.569621489156845,35.053698650824430,89.863201645187104,10.723706783539299,18.081316029095987,182.554015153762862,,26.092334719577352
14,104 Lake Ave,279,25.478485512790996,0.343926405388416,88.766244133988280,20.306330360862670,101.234996560080035,6834.601714705009726,,425.880176539643116
15,105 Auburn Rd,33,62.977402706328206,5.183301797473926,88.005856398429188,29.641957691898895,35.644021312907576,392.025574192099100,,72.106514555103914
16,105 Dewitt Pl Apt 2,279,23.832578785022100,2.579057848041625,82.173988865317909,20.243494512869429,82.247988063934102,1028.154366648592259,,123.607191053981069
17,105 Highland Pl,280,25.589173463313490,1.522876145879944,87.156292682640327,20.278346544163337,83.568746241929631,1129.049856806092748,,143.239048337881798
18,105 Hudson St # 105HUD,279,23.198450949537673,1.532456107565729,86.838569919311738,21.515168121784647,125.319380855117956,2832.401762786680592,,265.083219283767335
19,105 Worth St,281,32.573070854456788,5.916201275009886,88.973285480858408,19.632149045017634,47.428065936261788,544.790584355394458,,67.833532472271798
20,106-112 S Quarry St,279,24.751230985939074,2.149725860494625,85.043823002135596,20.336995208639152,77.263461479354760,1019.626842077699962,,118.752210446951651
21,106 Wiedmaier Ct,239,67.054115357957272,36.208368838111795,89.231186527476737,10.125434197532828,17.821761434004884,179.919950109625347,,25.839670124342163
22,107-109 Hudson St # 107HUD,279,23.536256619550549,1.875175314596984,87.181289126343003,21.512292249164567,116.446829085114160,2502.584139350835812,,236.205381991496921
23,107 E State St,279,22.713766681370565,0.177095260214777,87.819047034558423,22.542888656029010,230.655555598346410,6853.938374905855198,,580.107550238265503
24,107 Elmwood Ave,281,32.190517805808014,6.368460147092073,89.425544352940591,19.697793153405790,47.957729096981964,519.743595386454899,,68.007067023489299
25,108-110 Hudson St # 108HUD,279,23.521519429973058,1.860223765898386,87.166337577644398,21.512414466407996,116.795532973215018,2515.362268681863497,,237.312172933977365
26,108 E State St,279,22.679805396535063,0.010863708125233,87.652815482468867,22.496990066610142,673.180613752026147,111729.805882832588395,,6760.384447158274270
27,109 Dewitt Pl Apt 1,279,24.021214447214795,2.767693510234326,82.362624527510604,20.243494512869439,80.703629595444426,1001.776194253990639,,120.988818814487942
28,109 E State St,279,22.678526233555292,0.004602541961159,87.646554316304801,22.495282536977708,1257.588259381159105,263723.831361742515583,,15858.169123458077593
29,109 Williams St,280,24.651985898899614,1.181603522480950,87.389933872827299,20.090972918488337,85.312241844142960,1006.138713802519760,,137.921522311858268
30,110-112-113 Stewart Ave,279,23.785097403474875,2.799695923351297,82.022537343434450,20.072680371968353,82.976185455413500,1145.861775826774419,,126.333082238707519
31,110 N Titus Ave,276,25.501403219854581,2.751688954536219,89.480815479730921,21.633161228422725,84.414526576877734,1031.479919707469662,,135.009985101024029
32,110 Titus # 1A,276,25.559151085176204,2.904942904812789,89.327561529454343,21.658000899109418,84.144497393283473,1042.930450901234281,,134.994054422227890
33,111 Blair St,280,26.670449441699791,5.419837394803372,86.691481740160313,19.996892365973874,65.731524410967154,755.898550840895723,,96.348184910075574
