OID_,O_address,FREQUENCY,MEAN_Total_PublicTransitTime,MIN_Total_PublicTransitTime,MAX_Total_PublicTransitTime,STD_Total_PublicTransitTime,MEAN_Attraction_CostNormalized,MIN_Attraction_CostNormalized,MAX_Attraction_CostNormalized,STD_Attraction_CostNormalized
1,1 Candlewyck Dr,42,59.976118718020039,34.662216824399763,89.402409718167121,16.571250371328009,19.106400814794828,0.011185432336953,309.608007758572796,56.056348543082407
2,1 Maplewood Rd,4,85.200442580384490,80.915349545780259,88.540442485375451,3.164844039736586,2.581617592616699,0.012358594575856,8.665287010974685,4.074892251754211
3,100 Graham Rd,37,66.184370427537431,12.937221452022111,89.388730702848406,26.880278648977416,12.860964203322389,0.012308737385494,124.128437755288218,28.214867047026051
4,1002 N Aurora St,51,36.503889769707996,12.196128521274105,83.827028891505478,17.955799268252122,28.930279555670545,0.011929326533740,425.155853965238748,79.062099322124666
5,1005 1007 N Aurora St,51,36.523214204874932,12.311684672484725,83.616889037037723,17.940752133175572,28.968791938268222,0.011959306445341,422.533954497310162,79.139376848247338
6,101 Dryden Rd,52,34.706217923651444,0.736249079659585,88.861636719452463,22.908992381575029,39.495550796249489,0.011253450160468,448.217270456172059,85.448594271590807
7,102 Highland Pl Apt 1,51,33.415189336664213,1.218882715669416,89.889722019408595,21.964036733336112,35.248079962933886,0.011124742379157,464.766664158598076,80.064798608372470
8,102 Highland Pl Apt 2,51,33.440153659802547,1.243847038807751,89.914686342546929,21.964036733336112,35.128261849493498,0.011121653655003,464.392434905462608,79.883474064190921
9,102 Highland Pl Apt 4,51,33.440549779313407,1.244243158318609,89.915082462057782,21.964036733336116,35.126385859442934,0.011121604658729,464.386501708184142,79.880653920945548
10,102 Wiedmaier Ct,42,68.812524825102699,37.739478503038541,88.902183896686651,11.649674591245359,13.165944865574518,0.015498877630440,181.660161631039387,34.699438938135266
11,1028 Ellis Hollow Rd,51,54.436071841564143,4.471181788831586,85.943812406579241,19.763693038329897,22.131649775141220,0.012039406993357,354.966569421943746,64.061428422304942
12,103 Spring Ln,50,31.124902423197970,5.014306711891225,76.757839634441979,21.065185610908088,34.358017504072542,0.019437013822293,524.508845779633589,86.895782148083597
13,103 Wiedmaier Ct,42,68.424448240378467,37.351401918314309,88.514107311962434,11.649674591245269,13.237786096891568,0.015592663627349,182.554015153762833,34.872524922322718
14,104 Lake Ave,50,31.648447361601985,5.294284074596316,76.539397506495050,21.458430319241568,38.790754186441525,0.018314789824152,587.062429350842535,103.064100316394047
15,105 Auburn Rd,12,60.479552462485550,6.674773904734190,89.976042036765307,31.796255957396149,9.863923124369979,0.011114069671918,36.691070142003632,11.752768195169001
16,105 Dewitt Pl Apt 2,50,31.132777863775107,4.591240187465804,76.334773110016556,20.979162132494210,34.322197037073586,0.019342916306953,519.769827621525337,86.171506104671479
17,105 Highland Pl,50,32.975940760513204,1.184655897709806,75.335141351903829,20.772074024971026,35.391419785731770,0.018052016931511,452.784247761123538,79.156691505217822
18,105 Hudson St # 105HUD,50,29.595023509642719,2.958332804836132,80.999354164010384,22.016829492068794,39.994707383543229,0.022786524743903,717.338247391879690,114.463015982391966
19,105 Worth St,51,40.452222716399667,9.259351598341695,82.744495980752689,20.968434637621204,24.615442424281412,0.012085395990962,362.767447446380913,62.049036349771768
20,106-112 S Quarry St,50,31.721462068875404,5.409731354858422,79.204607246834243,21.080626916733756,33.458184262783242,0.020633577539178,518.648033507437731,85.907087672132363
21,106 Wiedmaier Ct,42,69.579118427665790,38.506072105601667,89.668777499249799,11.649674591245542,13.026490751956626,0.015316892417173,179.919950109625319,34.362917243957114
22,107-109 Hudson St # 107HUD,50,29.937742716673974,3.301052011867387,81.342073371041650,22.016829492068801,39.240444848344879,0.022609955020347,705.295341904556494,112.680051341055204
23,107 E State St,50,29.504390856331760,1.178326393614608,81.979831279257070,23.352260955061976,47.818425112776737,0.020712163456746,802.684888158265721,127.616230251037948
24,107 Elmwood Ave,51,40.115579676454388,9.711610470423880,83.196754852834871,20.997587601748474,24.889112245284952,0.012019699587669,373.263353660079360,63.563862773862439
25,108-110 Hudson St # 108HUD,50,29.922791167975394,3.286100463168789,81.327121822343045,22.016829492068769,39.272385816435104,0.022617600987293,705.812286787018024,112.756623766331899
26,108 E State St,50,29.491092332164598,1.344557945704153,81.813599727167514,23.257351302962807,46.990917344728715,0.020783722125412,795.314417311300190,126.277761695660004
27,109 Dewitt Pl Apt 1,50,31.321413525967813,4.779875849658506,76.523408772209251,20.979162132494196,33.985028778476192,0.019272595158898,516.254252848535771,85.597721275901463
28,109 E State St,50,29.490591438871483,1.350819111868226,81.807338561003448,23.253792474061662,46.961960753307274,0.020786427070187,795.039450298970678,126.229167468930356
