OID_,Total_PublicTransitTime,Properties_Name,Properties_DistanceToNetworkInMeters
1,17.9367306755093,0,40
2,67.9135194522331,0,40
3,23.8462839529277,0,18
4,17.8271280708798,0,37
5,101.782050016741,0,57
6,33.9797527620873,0,25
7,97.5766935091965,0,61
8,106.547710168644,0,27
9,102.005998576176,0,123
10,16.321669528555,0,34
11,117.456363628563,0,31
12,69.6681296294923,0,31
13,22.8535835844483,0,61
14,128.256976523609,0,110
15,16.870613496124,0,61
16,30.8628757810843,0,25
17,95.0749620482348,0,44
18,18.1597562277354,0,27
19,16.7284952187603,0,39
20,16.7284952187603,0,39
21,16.7284952187603,0,39
22,26.3595137208028,0,31
23,246.476916899981,0,141
24,38.1459392168472,0,20
25,16.7284952187603,0,39
26,26.1218005906231,0,39
27,38.1084835532031,0,23
28,27.0766091485008,0,27
29,16.1766379244929,0,27
30,24.4339907104369,0,27
31,28.3977561728362,0,21
32,35.3958732243599,0,34
33,97.5766935091965,0,116
34,81.1386520415368,0,28
35,130.546224457714,0,52
36,28.5514516755037,0,25
37,46.4695239917701,0,27
38,31.060814869163,0,15
39,28.5514516755037,0,25
40,32.0239656632102,0,0
41,31.1161359008805,0,19
42,42.4034878321563,0,37
43,33.0260652116719,0,19
44,31.0602071993399,0,20
45,42.1604532620742,0,20
46,42.4349680630081,0,38
47,39.3507215672652,0,22
48,40.705031548994,0,33
49,42.1604532620742,0,20
50,30.9861668568988,0,26
51,38.1459392168472,0,20
52,37.9327127661,0,16
53,28.8091434416827,0,17
54,31.0602071993399,0,20
55,42.1604532620742,0,20
56,16.7284952187603,0,39
57,42.1604532620742,0,20
58,42.1604532620742,0,20
59,16.7284952187603,0,39
60,16.7284952187603,0,39
61,18.8799124670021,0,31
62,16.7284952187603,0,39
63,16.7284952187603,0,39
64,18.8799124670021,0,31
65,16.7284952187603,0,39
66,16.7284952187603,0,39
67,38.2313294329389,0,22
68,16.7284952187603,0,39
69,38.1084835532031,0,23
70,43.9997851132369,0,34
71,16.7284952187603,0,39
72,38.1459392168472,0,20
73,23.0500591962269,0,33
74,30.7339074719564,0,37
75,42.1604532620742,0,20
76,31.0758228518467,0,22
77,16.7284952187603,0,39
78,41.852221133425,0,42
79,16.7284952187603,0,39
80,30.9840104166013,0,22
81,18.8954761980563,0,27
82,42.1604532620742,0,20
83,37.1229415708635,0,16
84,103.420342235865,0,107
85,70.3611169976376,0,33
86,174.985716778352,0,11
87,70.6906075906944,0,31
88,39.3715882581056,0,21
89,70.4477589941968,0,32
90,70.3611169976376,0,33
91,44.9578775869947,0,24
92,103.951960439023,0,58
93,28.8331014704954,0,15
94,17.8253600707953,0,32
95,38.9277564048596,0,29
96,38.9277564048596,0,29
97,70.6733941537796,0,31
98,70.699144512688,0,19
99,38.9277564048596,0,29
100,56.8669925801927,0,25
101,40.6563047874644,0,25
102,36.8240976357743,0,42
103,59.3944946028327,0,29
104,36.198272570153,0,8
105,182.826056173261,0,34
106,104.502928375363,0,42
107,72.3494943891616,0,80
108,40.0641702496088,0,23
109,43.8418409604139,0,38
110,32.8583562945507,0,38
111,104.355356317177,0,157
112,35.8849252669226,0,38
113,41.5613894560165,0,38
114,240.705719704764,0,41
115,62.0192843547862,0,23
116,37.0712778958527,0,13
117,103.593405420443,0,150
118,35.2307392660856,0,31
119,36.4485528660441,0,32
120,39.7727570036078,0,49
121,134.564046652485,0,223
122,97.6448003838796,0,60
123,15.1571366391846,0,102
124,33.7057381252683,0,13
125,40.1329027639988,0,12
126,35.8999129645325,0,13
127,39.4879073213086,0,39
128,41.6106322322563,0,35
129,104.401256345076,0,159
130,40.0657648983053,0,32
131,32.8646174607147,0,50
132,33.6483227037567,0,48
133,104.227159764877,0,157
134,103.457262422711,0,95
135,38.1349214174726,0,14
136,33.0308490128043,0,1
137,29.4825328369398,0,39
138,35.2307392660856,0,31
139,103.517575508577,0,107
140,103.834677205193,0,142
141,32.921264688924,0,13
142,131.487724024433,0,46
143,38.9277564048596,0,29
144,104.624431699724,0,142
145,29.6357867872164,0,27
146,70.4816493371708,0,33
147,38.1602818601217,0,14
148,66.114237001669,0,57
149,36.6371885282368,0,31
150,184.456679123266,0,32
151,38.1598857406109,0,18
152,40.7543929827588,0,13
153,38.7916900745867,0,19
154,37.7534792771037,0,37
155,82.7503583471458,0,7
156,38.9277564048596,0,29
157,31.6670425928718,0,44
158,105.356469531667,0,214
159,38.9547447927711,0,23
160,24.2834665479491,0,47
161,39.8346088384428,0,53
162,25.8705145524024,0,26
163,36.2486369127894,0,28
164,34.8710836343482,0,23
165,18.3635739842002,0,23
166,37.6618444661766,0,19
167,46.2005717776828,0,25
168,42.3259298221291,0,21
169,31.7779559531408,0,31
170,35.4435906146579,0,42
171,32.4125033475332,0,30
172,42.025597767485,0,25
173,42.007145858738,0,23
174,43.4250443354384,0,25
175,25.0498046664667,0,26
176,44.6163518759764,0,40
177,106.006632218301,0,45
178,75.8495680934098,0,29
179,28.9783459802248,0,25
180,45.990431923215,0,26
181,33.98525810505,0,27
182,90.105612320392,0,62
183,26.6388196409923,0,31
184,39.7593872655395,0,31
185,38.2651472456322,0,18
186,128.364396058977,0,30
187,112.602470256039,0,50
188,16.2350075582486,0,42
189,43.232911427736,0,41
190,37.6258458326466,0,19
191,36.8334077342751,0,15
192,46.7465155747194,0,32
193,18.3944610684154,0,26
194,32.1028850653986,0,31
195,25.3156944732572,0,30
196,25.6771387164323,0,38
197,24.492855402613,0,22
198,34.9921161111159,0,24
199,148.779235595128,0,71
200,42.8355142796908,0,1
201,44.9972219535437,0,28
202,24.3797234104272,0,21
203,16.2050228083394,0,61
204,28.2137243409095,0,23
205,61.5688693296657,0,77
206,28.9633944315262,0,28
207,43.3534482645534,0,41
208,38.9303323873133,0,31
209,79.9995955357778,0,87
210,27.3893495738166,0,28
211,50.4206721815076,0,46
212,25.4469047119596,0,24
213,26.4158886535552,0,49
214,26.3860519545954,0,38
215,38.596505301065,0,23
216,28.6356267731936,0,30
217,36.7960830598956,0,26
218,36.6598869168254,0,40
219,76.6161616959729,0,45
220,40.6374003936147,0,33
221,75.4614915086856,0,16
222,84.8463583187214,0,81
