"placeId","cid","title","street","city","state","categoryName","openingHours/0/day","openingHours/0/hours","openingHours/1/day","openingHours/1/hours","openingHours/2/day","openingHours/2/hours","openingHours/3/day","openingHours/3/hours","openingHours/4/day","openingHours/4/hours","openingHours/5/day","openingHours/5/hours","openingHours/6/day","openingHours/6/hours","temporarilyClosed","reviewsCount","price","imagesCount","isAdvertisement","description","permanentlyClosed","url","rank","totalScore","location/lat","location/lng"
"ChIJRXHsUx-B0IkRCXfn3FgEXiw","3196997565189420809","Cornell University Library Annex","209 Bookbank Dr","Ithaca","New York","University library","Monday","8 AM to 4 PM","Tuesday","8 AM to 4 PM","Wednesday","8 AM to 4 PM","Thursday","8 AM to 4 PM","Friday","8 AM to 4 PM","Saturday","Closed","Sunday","Closed","false","0",,,"false",,"false","https://www.google.com/maps/place/Cornell+University+Library+Annex/@42.4425328,-76.4576937,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0811f53ec7145:0x2c5e0458dce77709!8m2!3d42.4425328!4d-76.4576937!16s%2Fg%2F11t8c42rr9?hl=en&entry=ttu","43",,"42.4425328","-76.4576937"
"ChIJ-zXAaZyB0IkRFyUWkMJQR4U","9603733526962119959","Finger Lakes Library System","1300 Dryden Rd","Ithaca","New York","Public library","Monday","8 AM to 4 PM","Tuesday","8 AM to 4 PM","Wednesday","8 AM to 4 PM","Thursday","8 AM to 4 PM","Friday","8 AM to 4 PM","Saturday","Closed","Sunday","Closed","false","4",,"1","false",,"false","https://www.google.com/maps/place/Finger+Lakes+Library+System/@42.4678152,-76.4107603,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0819c69c035fb:0x854750c290162517!8m2!3d42.4678152!4d-76.4107603!16s%2Fg%2F1td2hwvt?hl=en&entry=ttu","42","4","42.4678152","-76.4107603"
"ChIJuxV_ppZ62okR2X6djEn3GPQ","17589080239959277273","Southworth Library","24 W Main St","Dryden","New York","Public library","Monday","10 AM to 6 PM","Tuesday","10 AM to 6 PM","Wednesday","10 AM to 6 PM","Thursday","10 AM to 6 PM","Friday","10 AM to 6 PM","Saturday","10 AM to 2 PM","Sunday","Closed","false","22",,"6","false",,"false","https://www.google.com/maps/place/Southworth+Library/@42.4909242,-76.2990235,17z/data=!3m1!4b1!4m6!3m5!1s0x89da7a96a67f15bb:0xf418f7498c9d7ed9!8m2!3d42.4909242!4d-76.2990235!16s%2Fm%2F09gcw4y?hl=en&entry=ttu","33","5","42.4909242","-76.2990235"
"ChIJOYCteI6B0IkRj6SDbq2mgRE","1261472634454123663","Cornell University Law Library","Cornell Law School, Myron Taylor Hall, Law Library","Ithaca","NY","Law library","Monday","8 AM to 8 PM","Tuesday","8 AM to 8 PM","Wednesday","8 AM to 8 PM","Thursday","8 AM to 8 PM","Friday","8 AM to 5 PM","Saturday","11 AM to 5 PM","Sunday","12 to 8 PM","false","4",,"19","false",,"false","https://www.google.com/maps/place/Cornell+University+Law+Library/@42.4438549,-76.4857724,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818e78ad8039:0x1181a6ad6e83a48f!8m2!3d42.4438549!4d-76.4857724!16s%2Fg%2F1tgdjzt6?hl=en&entry=ttu","26","5","42.4438549","-76.4857724"
"ChIJQQFU0gF02okRQN0FakYpnn8","9195832871540350272","Groton Public Library","112 E Cortland St","Groton","New York","Public library","Monday","2 to 8 PM","Tuesday","12 to 8 PM","Wednesday","12 to 8 PM","Thursday","12 to 8 PM","Friday","12 to 8 PM","Saturday","10 AM to 2 PM","Sunday","Closed","false","21",,"4","false",,"false","https://www.google.com/maps/place/Groton+Public+Library/@42.590461,-76.3668159,17z/data=!3m1!4b1!4m6!3m5!1s0x89da7401d2540141:0x7f9e29466a05dd40!8m2!3d42.590461!4d-76.3668159!16s%2Fm%2F0j9fq8w?hl=en&entry=ttu","24","5","42.590461","-76.3668159"
"ChIJq6rqC4yB0IkRuY7ICsIG8Js","11236488500763725497","Cornell University Engineering Library","Carpenter Hall, Campus Rd","Ithaca","New York","University library","Monday","Open 24 hours","Tuesday","Open 24 hours","Wednesday","Open 24 hours","Thursday","Open 24 hours","Friday","Open 24 hours","Saturday","Open 24 hours","Sunday","Open 24 hours","false","2",,"1","false",,"false","https://www.google.com/maps/place/Cornell+University+Engineering+Library/@42.4447409,-76.4841488,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818c0beaaaab:0x9bf006c20ac88eb9!8m2!3d42.4447409!4d-76.4841488!16s%2Fm%2F04n3j4c?hl=en&entry=ttu","23","4.5","42.4447409","-76.4841488"
"ChIJLVAhLqF90IkRpRBPHvqlCyk","2957640073967767717","Newfield Public Library","198 Main St","Newfield","New York","Public library","Monday","2 to 5 PM","Tuesday","10 AM to 6:30 PM","Wednesday","10 AM to 6:30 PM","Thursday","10 AM to 6:30 PM","Friday","2 to 6:30 PM","Saturday","10 AM to 2 PM","Sunday","Closed","false","14",,"4","false",,"false","https://www.google.com/maps/place/Newfield+Public+Library/@42.361782,-76.5913848,17z/data=!3m1!4b1!4m6!3m5!1s0x89d07da12e21502d:0x290ba5fa1e4f10a5!8m2!3d42.361782!4d-76.5913848!16s%2Fm%2F0j9glky?hl=en&entry=ttu","22","4.6","42.361782","-76.5913848"
"ChIJ2aP9D4uB0IkRaF2_G9FXcI4","10263800106402667880","Nestlé Library","G80 Statler Hall","Ithaca","NY","University library","Monday","8 AM to 11:30 PM","Tuesday","8 AM to 11:30 PM","Wednesday","8 AM to 11:30 PM","Thursday","8 AM to 11:30 PM","Friday","8 AM to 6:30 PM","Saturday","12 to 6:30 PM","Sunday","12 to 11:30 PM","false","10",,"1","false",,"false","https://www.google.com/maps/place/Nestl%C3%A9+Library/@42.445824,-76.482373,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818b0ffda3d9:0x8e7057d11bbf5d68!8m2!3d42.445824!4d-76.482373!16s%2Fg%2F11xcglfbs?hl=en&entry=ttu","17","4.6","42.445824","-76.482373"
"ChIJzQyLBSOC0IkRt7a_Kjhtuto","15761029933939275447","Africana Library","310 Triphammer Rd","Ithaca","New York","University library","Monday","9 AM to 9 PM","Tuesday","9 AM to 9 PM","Wednesday","9 AM to 9 PM","Thursday","9 AM to 9 PM","Friday","9 AM to 5 PM","Saturday","Closed","Sunday","Closed","false","0",,"1","false",,"false","https://www.google.com/maps/place/Africana+Library/@42.4573916,-76.4822137,17z/data=!3m1!4b1!4m6!3m5!1s0x89d08223058b0ccd:0xdaba6d382abfb6b7!8m2!3d42.4573916!4d-76.4822137!16s%2Fg%2F1vxvjv8h?hl=en&entry=ttu","16",,"42.4573916","-76.4822137"
"ChIJVVUVuIqB0IkRFg7SS-7glqY","12004029170881531414","Cornell University Mathematics Library","420 Mallott Hall","Ithaca","New York","University library","Monday","9 AM to 8 PM","Tuesday","9 AM to 8 PM","Wednesday","9 AM to 8 PM","Thursday","9 AM to 8 PM","Friday","9 AM to 5 PM","Saturday","Closed","Sunday","Closed","false","1",,"6","false",,"false","https://www.google.com/maps/place/Cornell+University+Mathematics+Library/@42.4482224,-76.4802083,17z/data=!3m1!4b1!4m6!3m5!1s0x89d0818ab8155555:0xa696e0ee4bd20e16!8m2!3d42.4482224!4d-76.4802083!16s%2Fg%2F1vcjn6_x?hl=en&entry=ttu","15","5","42.4482224","-76.4802083"
