address/street,baths,beds,coordinates/latitude,coordinates/longitude,garage,id,listPrice,is_manual,name,sqft,status,stories,type,units,year_built
327 W Seneca St Apt 203,1,2,42.440075,-76.503532,0,9181092076,1950.00,FALSE,,700,for_rent,1,apartment,1,
124 Roberts Pl,2,3,42.453167,-76.484934,0,4335817125,1250.00,FALSE,,1500,for_rent,1,apartment,1,
702 N Aurora St,1,2,42.447485,-76.496377,0,3603094472,1450.00,FALSE,,0,for_rent,1,apartment,1,
705 E Buffalo St,1,2,42.441341,-76.488255,0,3843087142,1380.00,FALSE,,0,for_rent,1,apartment,1,
303 Wyckoff Ave,2,4,42.455059,-76.483592,0,3451496618,3100.00,FALSE,,2400,for_rent,1,apartment,1,
103 Spring Ln,1,2,42.441994,-76.491734,0,3830304923,1620.00,FALSE,,0,for_rent,1,apartment,1,
1B Deibler Dr,1,2,42.494366,-76.37544,0,4052872017,1300.00,FALSE,,0,for_rent,1,apartment,1,
112 Sapsucker Woods Rd,1,2,42.468651,-76.450523,0,9144834287,1695.00,FALSE,,3078,for_rent,1,apartment,1,1976.0
425 Troy Rd,2,3,42.385446,-76.470106,0,3319701317,775.00,FALSE,,1400,for_rent,1,apartment,1,
202 Dryden Rd,2.5,5.5,42.441786,-76.484831,0,9004372666,855.00,FALSE,Landlords Association,0,for_rent,1,apartment,2,0.0
107 Elmwood Ave,2,4,42.438428,-76.478496,0,4209064466,4100.00,FALSE,,0,for_rent,1,apartment,1,
109 E State St,1,0,42.439278,-76.498512,0,9593541099,945.00,FALSE,,0,for_rent,1,apartment,1,
87 Uptown Rd Apt F112,1,1,42.47979,-76.474205,0,9048930196,1350.00,FALSE,,775,for_rent,1,apartment,1,
426 E Buffalo St,1,2,42.441949,-76.49252,0,3830863912,882.00,FALSE,,0,for_rent,1,apartment,1,
210 Delaware Ave Apt 2,1,3,42.439854,-76.483528,0,9864265022,2850.00,FALSE,,0,for_rent,1,apartment,1,
8 Library St,1,0,42.491526,-76.298962,0,4780213306,735.00,FALSE,,0,for_rent,1,apartment,1,
114 Overlook Rd Apt 3,1,3,42.458683,-76.489548,0,9764143776,2685.00,FALSE,,1400,for_rent,1,apartment,1,
121 Cascadilla Ave Apt 3,1,1,42.443951,-76.497772,0,9439454615,1575.00,FALSE,,400,for_rent,1,apartment,1,1910.0
87 Uptown Rd Apt J201,1,1,42.479221,-76.474106,0,9198021389,1580.00,FALSE,,933,for_rent,1,apartment,1,
705 E Seneca Ithaca,1,1,42.440483,-76.489258,0,9270490040,1115.00,FALSE,,0,for_rent,1,apartment,1,
105 Dewitt Pl Apt 2,1,1,42.441929,-76.491173,0,9386654295,1450.00,FALSE,,0,for_rent,1,apartment,1,
216 University Ave,1,1,42.445737,-76.493702,0,3099746077,1900.00,FALSE,,0,for_rent,1,apartment,1,
1718 Ellis Hollow Rd,2,2,42.42716,-76.388618,0,4775417771,1850.00,FALSE,,0,for_rent,1,apartment,1,
321-321 5 Hillview Pl # 321HIL,1,3,,,0,9024949942,1875.00,TRUE,PPM Homes LLC,0,for_rent,1,apartment,3,
200 W Hill Cir,1.25,2,42.46632,-76.54324,0,4946062953,0.00,FALSE,The Overlook at West Hill,855,for_rent,1,apartment,128,
924 Danby Rd,1.5,4,42.425702,-76.500679,0,3070355079,2100.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,other,2,
Ithaca Solar Townhouses,1,4,,,0,9250743367,3000.00,TRUE,"Ithaca Estates Realty, LLC",1800,for_rent,1,apartment,8,
113 N Quarry St,1,3,42.439342,-76.48835,0,9309116472,2400.00,TRUE,PPM Homes LLC,0,for_rent,1,apartment,5,
Coddington and Hudson Pl,1,0,,,0,9104009463,925.00,TRUE,Ithaca Living Solutions,400,for_rent,1,apartment,98,
151 Dryden Rd,1,1,42.441534,-76.485747,0,3155134025,1950.00,FALSE,Landlords Association,0,for_rent,1,apartment,3,0.0
508 E Buffalo St,1.5,3,42.44176,-76.491679,0,3829410541,2400.00,FALSE,Landlords Association,1350,for_rent,1,apartment,2,0.0
111 Dryden Rd,1.5,3,42.441449,-76.486717,0,3155208557,1525.00,FALSE,Landlords Association,0,for_rent,1,apartment,6,0.0
210 Delaware Ave,1,3,42.439892,-76.483505,0,9254273635,2850.00,TRUE,Landlords Association,0,for_rent,1,apartment,2,0.0
87 Uptown Rd Apt F212,1,1,42.479824,-76.47422,0,9655301551,1400.00,FALSE,,775,for_rent,1,apartment,1,
411 N Geneva St Apt 2,1,1,42.443233,-76.500648,0,9447043542,1900.00,FALSE,,660,for_rent,1,apartment,1,
108 E State St,2,2,42.439859,-76.498531,0,9924998029,1800.00,TRUE,Ithaca Renting Company,700,for_rent,1,apartment,5,0.0
521 E State St,1,1.5,42.438945,-76.490611,0,3914265092,2125.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,other,9,
87 Uptown Rd Apt H207,1,1,42.479694,-76.474197,0,9304999752,1550.00,FALSE,,775,for_rent,1,apartment,1,
87 Uptown Rd Apt K205,1,1,42.479134,-76.47361,0,9151962928,1450.00,FALSE,,775,for_rent,1,apartment,1,
102 Highland Pl Apt 1,1,1,42.44241,-76.488861,0,9548497444,1550.00,FALSE,,500,for_rent,1,apartment,1,
107 E State St,1,0.5,42.43952,-76.498692,0,4609880924,1870.00,FALSE,Landlords Association,0,for_rent,1,apartment,2,0.0
110 N Titus Ave,1,1,42.435539,-76.499603,0,9638615418,1845.00,FALSE,,0,for_rent,1,apartment,1,
705 E Seneca Ithaca,1,1,42.440483,-76.489258,0,9324932634,1195.00,FALSE,,0,for_rent,1,apartment,1,
87 Uptown Rd Apt K108,1,1,42.479176,-76.473717,0,9911442678,1550.00,FALSE,,775,for_rent,1,apartment,1,
87 Uptown Rd Apt H202,1,1,42.479404,-76.474045,0,9952534781,1525.00,FALSE,,775,for_rent,1,apartment,1,
112 E State St,2,2,42.439612,-76.498583,0,3112201184,1800.00,FALSE,,0,for_rent,1,apartment,1,
1 Maplewood Rd,1,1,42.497367,-76.541623,0,4912559680,1180.00,FALSE,,475,for_rent,1,apartment,1,
327 W Seneca St Apt 304,1,1,42.440075,-76.503532,0,9218997222,1450.00,FALSE,,400,for_rent,1,apartment,1,
87 Uptown Rd Apt F107,1,1,42.479996,-76.474075,0,9862570496,1550.00,FALSE,,775,for_rent,1,apartment,1,
20 Blue Heron Way,2,2,,,0,9064087276,3300.00,FALSE,,2400,for_rent,1,apartment,1,2022.0
110 Titus # 1A,2,2,42.435417,-76.499695,0,9597377586,3500.00,FALSE,,0,for_rent,1,apartment,1,
207 Kevin Pl,2,4,,,0,9469354464,3180.00,FALSE,,0,for_rent,1,apartment,1,
22 Blue Heron Way,2,2,,,0,9011626843,3100.00,FALSE,,2400,for_rent,1,apartment,1,2022.0
801 Triphammer Rd Apt A,1,2,42.463275,-76.483294,0,4340216921,1540.00,FALSE,,0,for_rent,1,apartment,1,
102 Highland Pl Apt 4,1,1,42.442429,-76.488861,0,9051500681,2095.00,FALSE,,0,for_rent,1,apartment,1,
372 Troy Rd Unit 2,2,4,42.389908,-76.471977,0,9811241160,2500.00,FALSE,,1092,for_rent,1,apartment,1,
109 Dewitt Pl Apt 1,1,2,42.44207,-76.491196,0,9657086777,995.00,FALSE,,0,for_rent,1,apartment,1,
5C Deibler Dr,1,2,42.494305,-76.37709,0,9588836722,1300.00,FALSE,,832,for_rent,1,apartment,1,
102 Highland Pl Apt 2,1,1,42.442429,-76.488899,0,9405501907,2095.00,FALSE,,0,for_rent,1,apartment,1,
208 Dryden Rd,1,2.5,42.441923,-76.484635,0,9169444932,1340.00,FALSE,Landlords Association,0,for_rent,1,apartment,5,0.0
426 Eddy St,2,4.5,42.442211,-76.487778,0,9167320806,920.00,FALSE,Landlords Association,0,for_rent,1,apartment,3,0.0
Ithaca Solar Townhouses,1,4,,,0,9438115898,3000.00,TRUE,"Ithaca Solar Townhouses, LLC 1047-1053 Danby Rd.",1800,for_rent,1,apartment,8,
127 College Ave,1,2,42.439056,-76.484797,0,3877707202,1470.00,FALSE,Landlords Association,0,for_rent,1,apartment,4,0.0
200 Conifer Dr,1.5,1.5,42.451167,-76.532176,0,3757019505,646.00,FALSE,Conifer Village at Ithaca,838,for_rent,1,apartment,72,
327 W Seneca St Apt 204,1,1,42.440075,-76.503532,0,9948193227,1415.00,FALSE,,400,for_rent,1,apartment,1,
140 Seneca Way,1.5,1.5,42.439838,-76.493643,0,3728354657,3022.50,TRUE,140 Seneca Way,1305.5,for_rent,1,apartment,38,
87 Uptown Rd Apt C215,1,2,42.479618,-76.475433,0,9317508645,1585.00,FALSE,,1075,for_rent,1,apartment,1,
105 Highland Pl,1.5,2.5,42.442707,-76.488487,0,9634804524,3100.00,TRUE,"MLR Property Management, LLC",800,for_rent,1,apartment,11,
319 Hillview Pl # 319HIL,1,1,42.434536,-76.495331,0,9062529655,2000.00,TRUE,PPM Homes LLC,400,for_rent,1,apartment,6,
430 W State St,1.5,1,42.439693,-76.5056,0,9241448840,2380.00,TRUE,Ironworks,718.5,for_rent,1,apartment,131,2022.0
213-215 Columbia St,1.5,3.5,42.435658,-76.493591,0,9951205032,2625.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,apartment,3,
111 Blair St,1,2,42.437708,-76.485614,0,4024423218,885.00,FALSE,"Moll Properties, Inc.",0,for_rent,1,other,3,
711 E Seneca St,1.5,3.5,42.440432,-76.488811,0,3898650662,3850.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,other,7,
718 Hudson St,1,2,42.429743,-76.492045,0,4203113412,1450.00,TRUE,Ithaca Living Solutions,750,for_rent,1,apartment,2,
109 Williams St,1,2,42.442177,-76.489075,0,9278978635,2500.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,apartment,6,
1005 1007 N Aurora St,1,2.5,42.45174,-76.496086,0,9131351145,2050.00,TRUE,"MLR Property Management, LLC",875,for_rent,1,apartment,3,
404 University Ave,2,3,42.447632,-76.493164,0,9653352345,3300.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,apartment,5,
308 E Seneca St,1,1,42.440742,-76.495182,0,4552409564,1350.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,apartment,6,
707 E Seneca St,1,3,42.440419,-76.489039,0,3072081599,3700.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,other,8,
232 S Geneva St,2,3.5,42.437016,-76.50088,0,3364954427,3150.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,apartment,8,
306 Bryant Ave,2,5,42.440925,-76.483697,0,3857918987,6566.00,FALSE,"MLR Property Management, LLC",2000,for_rent,1,apartment,2,
230 Bryant Ave,1.5,2.5,42.440218,-76.483019,0,3883669753,1450.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,apartment,5,
226 Bryant Ave,1.5,2.5,42.440006,-76.482742,0,9262301734,950.00,TRUE,PPM Homes LLC,0,for_rent,1,apartment,8,
416 Hudson St # 416HUD,2,6,42.435165,-76.492434,0,4079390483,725.00,TRUE,PPM Homes LLC,2060,for_rent,1,other,3,
518 Linn St,1.5,2.5,42.449668,-76.495308,0,3558710734,2400.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,apartment,3,
128 Sapsucker Woods Rd,1,2,42.469771,-76.45061,0,3141148539,1500.00,TRUE,Ithaca Living Solutions,900,for_rent,1,apartment,4,
102 Wiedmaier Ct,1.5,3,42.414061,-76.44854,0,3609484160,2350.00,TRUE,Ithacor,1172.5,for_rent,1,apartment,2,2014.0
107-109 Hudson St # 107HUD,1.5,5,42.438454,-76.494263,0,9099740249,3812.50,TRUE,PPM Homes LLC,2000,for_rent,1,apartment,8,
1002 N Aurora St,1.5,2.5,42.451565,-76.496537,0,3463980708,2550.00,TRUE,"MLR Property Management, LLC",1500,for_rent,1,apartment,5,
110-112-113 Stewart Ave,1.5,3,42.440121,-76.489494,0,9039527098,3000.00,TRUE,"MLR Property Management, LLC",717,for_rent,1,apartment,16,
921 Taughannock Blvd,1,1,42.468463,-76.526988,0,4859057159,1430.00,FALSE,"West Shore Apartments, LLC",0,for_rent,1,apartment,3,
309 S Aurora St,2,3.5,42.437196,-76.494479,0,3992635369,4550.00,FALSE,PPM Homes LLC,700,for_rent,1,apartment,3,
522 Stewart Ave,2.5,5,42.444431,-76.489685,0,9089162976,5500.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,apartment,9,
144-313 Linn St,2,5,42.444863,-76.494838,0,3215199418,4250.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,apartment,5,
1601 E Shore Dr Unit B,3,4,42.50922,-76.508728,0,9415356472,3800.00,FALSE,,2000,for_rent,1,condos,1,2023.0
100 Graham Rd,1.5,2,42.48426,-76.48047,0,4425528019,875.00,FALSE,The Meadows at Ithaca,945,for_rent,1,apartment,111,
139 Coddington Rd # 139COD,2,6,42.429824,-76.493388,0,4204454986,3780.00,FALSE,PPM Homes LLC,1827,for_rent,1,apartment,3,
Springwood Townhomes,2,2,,,0,9686083266,1525.00,TRUE,"Ithaca Estates Realty, LLC",1250,for_rent,1,apartment,29,
609 E State St,2,4.5,42.438973,-76.50901,0,3912513592,4500.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,other,7,
129 College Ave,3,8,42.439202,-76.484891,0,3875955703,8800.00,TRUE,PPM Homes LLC,2988,for_rent,1,apartment,2,
308 Stewart Ave,1.5,2.5,42.441994,-76.490044,0,9505054718,2800.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,apartment,9,
710 Stewart Ave,1,2.5,42.450213,-76.490992,0,3570374974,775.00,FALSE,"MLR Property Management, LLC",0,for_rent,1,other,8,
720 Hudson St,1,2,42.429752,-76.492081,0,9766813501,1400.00,TRUE,Ithaca Living Solutions,720,for_rent,1,apartment,2,
601 E State St,2,4,42.438908,-76.489525,0,3913147113,4400.00,TRUE,"MLR Property Management, LLC",0,for_rent,1,apartment,2,
410 S Aurora St,2,6,42.436188,-76.494972,0,9849757139,4100.00,TRUE,PPM Homes LLC,2232,for_rent,1,apartment,4,1975.0
211 Columbia St,1,3,42.435573,-76.493782,0,4090346670,2237.50,TRUE,Ithacor,1176,for_rent,1,apartment,2,2010.0
315-317 Hillview Pl # 315HIL,2,4,42.434696,-76.495552,0,9814917182,2760.00,TRUE,PPM Homes LLC,1688,for_rent,1,apartment,3,
119 Stewart Ave # 119STE,1,1.5,42.440525,-76.489502,0,9727296845,1807.50,TRUE,PPM Homes LLC,650,for_rent,1,apartment,6,
192-198 Pinckney Rd,1,2,42.483201,-76.408614,0,9799779705,995.00,FALSE,PPM Homes LLC,0,for_rent,1,apartment,8,
112 Summit St,3,3,42.442169,-76.483081,0,4465034930,5100.50,TRUE,The Lux and Lofts,1068,for_rent,1,apartment,0,
