property_url,mls,mls_id,status,style,street,unit,city,state,zip_code,beds,full_baths,half_baths,sqft,year_built,days_on_mls,list_price,list_date,sold_price,last_sold_date,lot_sqft,price_per_sqft,latitude,longitude,stories,hoa_fee,parking_garage
https://www.realtor.com/realestateandhomes-detail/3877707202,RLXB,8253903,FOR_RENT,APARTMENT,127 College Ave,,Ithaca,NY,14850,,,,,0,25,,2023-09-22,,,,,42.439056,-76.484797,,,
https://www.realtor.com/realestateandhomes-detail/3744705053,AVAL,60889762,FOR_RENT,SINGLE_FAMILY,402 Esty St,,Ithaca,NY,14850,1,1,,720,,27,1700,2023-09-20,140000,2006-03-17,,2,42.44352,-76.507092,,,
https://www.realtor.com/realestateandhomes-detail/9469354464,RTEC,59327255,FOR_RENT,APARTMENT,207 Kevin Pl,,Ithaca,NY,14850,4,2,,,,27,3180,2023-09-20,,,,,,,,,
https://www.realtor.com/realestateandhomes-detail/9973531199,RNTR,8648912,FOR_RENT,APARTMENT,110 Heights Ct,Apt 1,Ithaca,NY,14850,1,1,,1200,1920,28,1500,2023-09-19,,,,1,42.455269,-76.485146,,,
https://www.realtor.com/realestateandhomes-detail/9064087276,SYNY,S1498869,FOR_RENT,APARTMENT,20 Blue Heron Way,,Ithaca,NY,14850,2,2,,2400,2022,28,3300,2023-09-19,,,141570,1,,,,,
https://www.realtor.com/realestateandhomes-detail/9011626843,SYNY,S1498722,FOR_RENT,APARTMENT,22 Blue Heron Way,,Ithaca,NY,14850,2,2,,2400,2022,28,3100,2023-09-19,,,141570,1,,,,,
https://www.realtor.com/realestateandhomes-detail/3877781734,RLXB,7679574,FOR_RENT,APARTMENT,218 Delaware Ave,,Ithaca,NY,14850,,,,,0,31,,2023-09-16,495000,2009-12-11,,,42.440545,-76.483578,,,
https://www.realtor.com/realestateandhomes-detail/9766813501,RLXB,5427293,FOR_RENT,APARTMENT,720 Hudson St,,Ithaca,NY,14850,,,,,,32,,2023-09-15,,,,,42.429752,-76.492081,,,
https://www.realtor.com/realestateandhomes-detail/9144834287,CONY,S1497745,FOR_RENT,APARTMENT,112 Sapsucker Woods Rd,,Ithaca,NY,14850,2,1,,3078,1976,34,1695,2023-09-13,,,17498,1,42.468651,-76.450523,,,
https://www.realtor.com/realestateandhomes-detail/4400348928,RLXB,4589039,FOR_RENT,APARTMENT,405-409 Aurora St,,Ithaca,NY,14850,,,,,,34,,2023-09-13,,,,,42.436364,-76.494251,,,
