,address/locality,address/street,baths,beds,coordinates/latitude,coordinates/longitude,garage,id,listPrice,local/flood/flood_factor_score,local/noise/score,local/wildfire/fire_factor_score,name,sqft,status,stories,type,units,year_built,amenity_count
33,Ithaca,2250 N Triphammer Rd Apt K2,1.5,2.0,42.478687,-76.487259,0.0,9604444238,,1.0,76.0,2.0,Lansing West Apartments,894.0,for_rent,1.0,apartment,180.0,,5
34,Ithaca,1 Candlewyck Dr,1.0,1.5,42.46021,-76.52717,0.0,3608593626,,1.0,78.0,2.0,Candlewyck Park,755.0,for_rent,1.0,apartment,77.0,,7
35,Ithaca,166 Bush Ln,3.0,4.0,42.497919,-76.479263,0.0,4240505674,2950.0,1.0,90.0,2.0,,1650.0,for_rent,1.0,single_family,1.0,,1
36,Ithaca,115 Prospect St # 1,1.0,3.0,42.437073,-76.495872,0.0,9267287577,2100.0,1.0,78.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,3
37,Ithaca,402 Esty St,1.0,1.0,42.44352,-76.507092,0.0,3744705053,1550.0,8.0,74.0,1.0,,720.0,for_rent,1.0,single_family,1.0,,2
38,Ithaca,116 Ferris Pl Apt 3,1.0,3.0,42.438095,-76.489319,0.0,9190586965,2010.0,1.0,75.0,1.0,,0.0,for_rent,1.0,apartment,1.0,,5
39,Ithaca,207 Kevin Pl,1.0,3.0,,,0.0,9119603768,2400.0,,,,,0.0,for_rent,1.0,apartment,1.0,,0
40,Ithaca,115 Prospect St # 2,1.0,3.0,42.437073,-76.495872,0.0,9624387043,2100.0,1.0,78.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,2
41,Ithaca,106-112 S Quarry St,1.5,3.5,42.438304,-76.488487,0.0,4064492174,,,73.0,,"MLR Property Management, LLC",0.0,for_rent,1.0,other,5.0,,3
42,Ithaca,116 Ferris Pl Apt 2,1.0,3.0,42.438127,-76.489369,0.0,4340179655,2100.0,1.0,75.0,1.0,,750.0,for_rent,1.0,apartment,1.0,,5
43,Ithaca,218 Delaware Ave Apt 4,2.0,5.0,42.440521,-76.483574,0.0,9004188671,5250.0,1.0,77.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,5
44,Ithaca,112-114 Schuyler Pl,1.0,3.0,42.439892,-76.492302,0.0,9356349145,775.0,1.0,74.0,2.0,,0.0,for_rent,1.0,apartment,1.0,,0
45,Ithaca,118 Ferris Pl Apt 2,1.0,4.0,42.438084,-76.489365,0.0,9858278091,2800.0,1.0,75.0,1.0,,0.0,for_rent,1.0,apartment,1.0,,5
46,Ithaca,238 Dryden Rd Unit 201,2.0,2.0,42.441662,-76.483253,0.0,9800762398,3710.0,1.0,75.0,3.0,,990.0,for_rent,1.0,condos,1.0,,0
47,Ithaca,218 Delaware Ave,1.5,3.5,42.440545,-76.483578,0.0,3877781734,3075.0,1.0,77.0,3.0,Landlords Association,0.0,for_rent,1.0,apartment,3.0,0.0,2
48,Ithaca,104 Lake Ave,4.0,7.0,42.444748,-76.499762,0.0,9843308796,825.0,6.0,77.0,2.0,,0.0,for_rent,1.0,apartment,1.0,,2
49,Ithaca,214 Dryden Rd,4.0,7.0,42.441896,-76.484229,0.0,9725975963,850.0,1.0,73.0,3.0,,0.0,for_rent,1.0,apartment,1.0,,2
50,Ithaca,238 Dryden Rd Unit G01,1.0,1.0,42.441662,-76.483253,0.0,9659993471,2415.0,1.0,75.0,3.0,,712.0,for_rent,1.0,condos,1.0,,0
51,Ithaca,118 Ferris Pl,2.0,6.0,42.438019,-76.489395,0.0,9580770626,4200.0,1.0,75.0,1.0,,0.0,for_rent,1.0,apartment,1.0,,5
52,Ithaca,202 Linden-4 Bedroom Btb Ave Unit 203,0.0,0.0,42.439472,-76.484375,0.0,9973307477,1285.0,1.0,78.0,3.0,,300.0,for_rent,1.0,condos,1.0,,0
