Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10057_001,SE_A10047_001,SE_A10047_002,SE_A10047_003,SE_A10047_004,SE_A10044_001,SE_A10044_002,SE_A10044_003,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_A10001_001,SE_A14024_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A10003B_001,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A10059B_001,SE_A10059B_002,SE_A10059B_003,SE_A10059B_004,SE_A10059B_005,SE_A10059B_006,SE_A10059B_007,SE_A10059B_008,SE_A10059B_009,SE_A10059B_010,SE_A10059B_011,SE_A10056B_001,SE_A10056B_002,SE_A10056B_003,SE_A10056B_004,SE_A10056B_005,SE_A10056B_006,SE_A10056B_007,SE_A10046B_001,SE_A10046B_002,SE_A10046B_003,SE_A10046B_004,SE_A10046B_005,SE_A10046B_006,SE_A10043B_001,SE_A10043B_002,SE_A10043B_003,SE_A10043B_004,SE_A10043B_005,SE_A10043B_006,SE_A10043B_007,SE_A10043B_008,SE_A10043B_009,SE_A10043B_010,SE_A10042B_001,SE_A10042B_002,SE_A10042B_003,SE_A10042B_004,SE_A10042B_005,SE_A10042B_006,SE_A10042B_007,SE_A10054B_001,SE_A10054B_002,SE_A10054B_003,SE_A10054B_004,SE_A10054B_005,SE_A10054B_006,SE_A10054B_007
"361090011001","Block Group 1, Census Tract 11, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1971,73,0,0,73,1533,1460,73,1460,380,1080,1533,28690,2814,951.2947,2.9580739370221,1.8,1743,1541,202,1080,0,208,25,313,0,79,236,80,12,127,1080,160,620,270,30,0,0,1080,390,690,0,0,0,1080,147,42,69,458,286,50,0,0,28,1080,147,126,245,534,0,28,1080,366,87,343,284,0,0
"361090011002","Block Group 2, Census Tract 11, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1986,54,0,54,0,1115,1061,54,1061,753,308,1115,47905,3116,794.9493,3.91974673241729,2.44,1421,1262,159,308,0,84,0,127,0,53,23,0,21,0,308,17,291,0,0,0,0,308,115,193,0,0,0,308,0,0,0,44,66,58,77,0,63,308,0,0,26,59,173,50,308,0,44,101,100,13,50
"361090012001","Block Group 1, Census Tract 12, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1963,9,0,0,9,50,41,9,41,23,18,50,3880,3168,6135.242,0.516361079665234,1.67,747,745,2,18,0,0,8,0,0,0,0,0,0,10,18,0,18,0,0,0,0,18,18,0,0,0,0,18,0,0,0,18,0,0,0,0,0,18,0,8,10,0,0,0,18,10,0,8,0,0,0
"361090013011","Block Group 1, Census Tract 13.01, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001301","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1943,70,0,0,70,882,812,70,812,119,693,882,29680,1208,9113.885,0.132545015652582,1.31,384,369,15,693,0,0,22,175,79,26,0,44,0,347,693,25,178,476,0,14,0,693,501,192,0,0,0,693,0,100,97,77,65,43,0,0,311,693,0,156,121,62,53,301,693,76,153,363,10,91,0
"361090013012","Block Group 2, Census Tract 13.01, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001301","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,2004,310,217,0,93,1608,1298,310,1298,553,745,1608,51443,2200,7272.378,0.302514529024845,1.23,1078,1054,24,745,0,412,135,66,82,0,22,0,0,28,745,74,473,176,0,22,0,745,455,245,0,45,0,745,113,234,188,155,0,0,27,0,28,745,113,285,279,68,0,0,745,310,369,66,0,0,0
"361090013021","Block Group 1, Census Tract 13.02, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001302","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1972,53,0,0,53,775,722,53,722,573,149,775,65080,1457,1046.359,1.3924469920324,1.79,853,829,24,149,0,0,0,0,14,53,67,15,0,0,149,0,111,14,24,0,0,149,55,94,0,0,0,149,0,0,0,14,120,0,15,0,0,149,0,0,55,79,15,0,149,24,31,0,79,15,0
"361090013022","Block Group 2, Census Tract 13.02, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001302","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1995,49,0,0,49,437,388,49,388,39,349,437,52927,678,696.9457,0.9728160902676,1.73,363,347,16,349,0,27,49,165,0,57,51,0,0,0,349,54,206,43,0,0,46,349,164,185,0,0,0,349,18,0,101,78,129,0,0,23,0,349,18,101,31,176,23,0,349,148,61,131,9,0,0
"361090013023","Block Group 3, Census Tract 13.02, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001302","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,1964,0,0,0,0,384,384,0,384,272,112,384,53175,885,194.0939,4.5596477667078,1.47,385,385,0,112,0,0,38,0,19,0,15,14,0,26,112,57,29,26,0,0,0,112,93,19,0,0,0,112,0,0,34,38,14,0,26,0,0,112,0,53,19,40,0,0,112,15,97,0,0,0,0
"361090014001","Block Group 1, Census Tract 14, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001400","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1973,23,0,0,23,479,456,23,456,176,280,479,43228,914,279.7499,3.26720394071324,1.86,544,500,44,280,0,29,28,32,52,53,50,11,0,25,280,11,41,204,13,0,11,280,168,112,0,0,0,280,23,30,68,51,61,22,0,25,0,280,23,108,78,71,0,0,280,30,168,71,0,11,0
"361090014002","Block Group 2, Census Tract 14, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001400","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1979,148,55,0,93,770,622,148,622,303,319,770,52503,1135,128.3749,8.84129115656134,1.68,752,728,24,319,0,58,30,54,32,50,57,10,0,28,319,48,170,75,16,0,10,319,198,99,0,22,0,319,34,24,58,47,75,43,0,38,0,319,34,29,123,76,29,28,319,0,245,66,8,0,0
