Geo_FIPS,Geo_QName,Geo_STUSAB,Geo_SUMLEV,Geo_GEOCOMP,Geo_US,Geo_REGION,Geo_DIVISION,Geo_STATE,Geo_COUNTY,Geo_COUSUB,Geo_PLACE,Geo_TRACT,Geo_BLKGRP,Geo_CONCIT,Geo_AIANHH,Geo_AIANHHFP,Geo_AIHHTLI,Geo_AITS,Geo_ANRC,Geo_CBSA,Geo_CSA,Geo_METDIV,Geo_MACC,Geo_MEMI,Geo_NECTA,Geo_CNECTA,Geo_NECTADIV,Geo_UA,Geo_CDCURR,Geo_SLDU,Geo_SLDL,Geo_ZCTA3,Geo_ZCTA5,Geo_SUBMCD,Geo_SDELM,Geo_SDSEC,Geo_SDUNI,Geo_UR,Geo_PCI,Geo_PUMA5,Geo_NAME,Geo_BTTR,Geo_BTBG,Geo_PLACESE,SE_A10057_001,SE_A10047_001,SE_A10047_002,SE_A10047_003,SE_A10047_004,SE_A10044_001,SE_A10044_002,SE_A10044_003,SE_A10060_001,SE_A10060_002,SE_A10060_003,SE_A10001_001,SE_A14024_001,SE_A00002_001,SE_A00002_002,SE_A00002_003,SE_A10003B_001,SE_A17005_001,SE_A17005_002,SE_A17005_003,SE_A10059B_001,SE_A10059B_002,SE_A10059B_003,SE_A10059B_004,SE_A10059B_005,SE_A10059B_006,SE_A10059B_007,SE_A10059B_008,SE_A10059B_009,SE_A10059B_010,SE_A10059B_011,SE_A10056B_001,SE_A10056B_002,SE_A10056B_003,SE_A10056B_004,SE_A10056B_005,SE_A10056B_006,SE_A10056B_007,SE_A10046B_001,SE_A10046B_002,SE_A10046B_003,SE_A10046B_004,SE_A10046B_005,SE_A10046B_006,SE_A10043B_001,SE_A10043B_002,SE_A10043B_003,SE_A10043B_004,SE_A10043B_005,SE_A10043B_006,SE_A10043B_007,SE_A10043B_008,SE_A10043B_009,SE_A10043B_010,SE_A10042B_001,SE_A10042B_002,SE_A10042B_003,SE_A10042B_004,SE_A10042B_005,SE_A10042B_006,SE_A10042B_007,SE_A10054B_001,SE_A10054B_002,SE_A10054B_003,SE_A10054B_004,SE_A10054B_005,SE_A10054B_006,SE_A10054B_007
"361090018001","Block Group 1, Census Tract 18, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001800","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1982,0,0,0,0,865,865,0,865,626,239,865,30842,1865,78.43103,23.7788545738436,2.26,770,752,18,239,0,0,0,48,98,0,20,45,0,28,239,0,126,93,20,0,0,239,77,162,0,0,0,239,45,20,68,85,21,0,0,0,0,239,45,20,125,49,0,0,239,0,133,106,0,0,0
"361090018002","Block Group 2, Census Tract 18, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001800","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1983,93,51,0,42,929,836,93,836,628,208,929,35861,1900,163.088,11.6501543636496,1.61,1048,989,59,208,0,55,16,0,8,12,80,0,0,37,208,0,117,69,22,0,0,208,138,70,0,0,0,208,44,0,0,91,23,50,0,0,0,208,44,38,80,31,15,0,208,87,82,27,12,0,0
"361090018003","Block Group 3, Census Tract 18, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001800","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,1975,0,0,0,0,546,546,0,546,399,147,546,48357,1114,39.3198,28.3317822321957,2.1,676,634,42,147,0,47,0,0,18,14,18,16,0,34,147,14,17,60,38,18,0,147,115,32,0,0,0,147,0,0,17,31,18,68,0,13,0,147,0,17,17,113,0,0,147,0,114,20,0,13,0
"361090019011","Block Group 1, Census Tract 19.01, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001901","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1983,0,0,0,0,596,596,0,596,322,274,596,55612,1163,35.0153,33.2140565902236,1.62,682,663,19,274,0,91,20,22,66,46,17,0,0,12,274,12,139,102,21,0,0,274,163,111,0,0,0,274,22,0,116,104,32,0,0,0,0,274,22,76,159,17,0,0,274,67,108,99,0,0,0
"361090019012","Block Group 2, Census Tract 19.01, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001901","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1968,66,0,0,66,809,743,66,743,522,221,809,40207,1694,64.7972,26.1431049101386,1.63,1052,1040,12,221,0,0,37,21,0,79,59,0,0,25,221,12,59,66,25,59,0,221,164,57,0,0,0,221,0,40,41,88,44,0,0,8,0,221,40,100,73,0,8,0,221,59,105,49,0,0,8
"361090019021","Block Group 1, Census Tract 19.02, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001902","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1978,49,0,0,49,636,587,49,587,429,158,636,53473,1209,48.30496,25.0284866184708,2.17,701,665,36,158,0,0,0,35,39,0,10,23,0,51,158,0,23,97,38,0,0,158,125,33,0,0,0,158,0,0,18,57,24,20,39,0,0,158,0,18,77,40,23,0,158,0,85,57,16,0,0
"361090019022","Block Group 2, Census Tract 19.02, Tompkins County, New York","ny","150","00",,,,"36","109",,,"001902","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1979,55,0,0,55,930,875,55,875,718,157,930,48400,2121,111.0112,19.1061734648964,2.96,1070,1031,39,157,0,25,27,16,33,0,9,0,0,47,157,56,25,76,0,0,0,157,105,52,0,0,0,157,0,0,16,36,29,0,41,0,35,157,0,36,28,41,17,35,157,0,64,76,0,17,0
"361090020001","Block Group 1, Census Tract 20, Tompkins County, New York","ny","150","00",,,,"36","109",,,"002000","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1978,73,0,0,73,678,605,73,605,341,264,678,23624,1919,311.8431,6.15373468911825,2.11,725,698,27,264,0,71,14,9,25,100,0,8,4,33,264,38,79,123,10,0,14,264,136,124,0,0,4,264,28,24,75,62,34,33,0,0,8,264,28,82,115,31,8,0,264,106,123,35,0,0,0
"361090020002","Block Group 2, Census Tract 20, Tompkins County, New York","ny","150","00",,,,"36","109",,,"002000","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1977,40,0,0,40,644,604,40,604,509,95,644,49930,1351,272.8733,4.95101637536545,2.18,795,735,60,95,0,0,6,22,7,0,22,3,13,22,95,0,89,6,0,0,0,95,64,31,0,0,0,95,0,0,16,31,29,16,3,0,0,95,0,7,48,40,0,0,95,7,51,37,0,0,0
"361090020003","Block Group 3, Census Tract 20, Tompkins County, New York","ny","150","00",,,,"36","109",,,"002000","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,1978,29,0,5,24,532,503,29,503,369,134,532,46165,1110,109.175,10.1671583034362,2.13,553,533,20,134,0,0,0,26,15,18,0,36,10,29,134,0,62,32,25,15,0,134,94,40,0,0,0,134,0,0,33,25,0,20,26,0,30,134,0,33,31,70,0,0,134,29,95,0,0,10,0
"361090021001","Block Group 1, Census Tract 21, Tompkins County, New York","ny","150","00",,,,"36","109",,,"002100","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1985,28,0,0,28,655,627,28,627,468,159,655,34363,1578,114.0742,13.8331081070646,2.23,870,870,0,159,0,0,0,78,40,27,0,4,0,10,159,14,79,19,35,12,0,159,53,106,0,0,0,159,0,0,78,18,63,0,0,0,0,159,0,22,112,25,0,0,159,4,54,61,40,0,0
"361090021002","Block Group 2, Census Tract 21, Tompkins County, New York","ny","150","00",,,,"36","109",,,"002100","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1971,9,0,0,9,534,525,9,525,375,150,534,56516,1135,204.8095,5.5417345562991,1.68,717,655,62,150,0,0,0,25,1,49,5,3,25,42,150,0,51,67,0,16,16,150,143,7,0,0,0,150,3,25,18,42,8,2,40,0,12,150,28,18,52,16,24,12,150,29,73,24,24,0,0
"361090021003","Block Group 3, Census Tract 21, Tompkins County, New York","ny","150","00",,,,"36","109",,,"002100","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,1983,55,0,0,55,905,850,55,850,583,267,905,41058,1896,131.7673,14.3890072077554,1.68,1072,868,204,267,0,9,14,19,145,67,11,0,0,2,267,2,66,54,145,0,0,267,242,25,0,0,0,267,0,13,18,196,15,23,0,0,2,267,0,22,231,12,2,0,267,151,38,78,0,0,0
"361090022001","Block Group 1, Census Tract 22, Tompkins County, New York","ny","150","00",,,,"36","109",,,"002200","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1980,0,0,0,0,722,722,0,722,460,262,722,27181,1790,102.0303,17.5438079249788,3.23,793,784,9,262,0,137,0,46,12,0,31,3,0,33,262,21,150,65,8,18,0,262,59,203,0,0,0,262,0,8,31,28,6,25,153,11,0,262,0,8,68,36,150,0,262,14,52,168,21,7,0
"361090022002","Block Group 2, Census Tract 22, Tompkins County, New York","ny","150","00",,,,"36","109",,,"002200","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1944,87,0,9,78,553,466,87,466,293,173,553,30113,1146,810.2449,1.41438724812625,1.97,565,550,15,173,0,0,6,18,12,22,11,9,3,92,173,23,78,64,0,8,0,173,95,78,0,0,0,173,0,31,34,39,44,7,6,0,12,173,0,71,66,32,0,4,173,17,89,63,0,0,4
"361090022003","Block Group 3, Census Tract 22, Tompkins County, New York","ny","150","00",,,,"36","109",,,"002200","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,1947,41,0,0,41,731,690,41,690,484,206,731,39958,1487,127.4735,11.665172193848,1.67,821,793,28,206,0,0,0,11,8,65,22,19,0,81,206,18,43,122,14,9,0,206,140,66,0,0,0,206,13,6,91,37,5,35,19,0,0,206,13,104,75,5,9,0,206,79,113,0,14,0,0
"361090023001","Block Group 1, Census Tract 23, Tompkins County, New York","ny","150","00",,,,"36","109",,,"002300","1",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 1",,,,1979,0,0,0,0,1085,1085,0,1085,1033,52,1085,36125,2679,93.78912,28.5640829223919,4.37,1350,1251,99,52,0,0,0,0,0,52,0,0,0,0,52,0,0,36,0,16,0,52,42,9,1,0,0,52,0,1,0,21,0,30,0,0,0,52,0,1,21,30,0,0,52,0,22,30,0,0,0
"361090023002","Block Group 2, Census Tract 23, Tompkins County, New York","ny","150","00",,,,"36","109",,,"002300","2",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 2",,,,1966,33,0,0,33,684,651,33,651,563,88,684,60666,1625,81.57356,19.9206699027177,2.25,856,856,0,88,0,0,13,0,0,0,34,41,0,0,88,13,24,41,10,0,0,88,60,28,0,0,0,88,0,0,15,22,41,0,0,10,0,88,0,0,78,0,10,0,88,0,63,25,0,0,0
"361090023003","Block Group 3, Census Tract 23, Tompkins County, New York","ny","150","00",,,,"36","109",,,"002300","3",,,,,,,,,,,,,,,,,,,,,,,,,,,,"Block Group 3",,,,1982,34,0,34,0,721,687,34,687,612,75,721,55135,1507,88.33078,17.0608697800916,2.64,743,724,19,75,0,0,0,0,32,0,0,26,0,17,75,16,32,27,0,0,0,75,48,27,0,0,0,75,0,0,26,16,32,0,0,1,0,75,0,42,0,32,1,0,75,0,17,58,0,0,0
